cdacordao,tipo,PC1,PC2,PC3,PC4,PC5,PC6
1863427,f(ementa),-0.175120,-0.044872,-0.137234,-0.154527,-0.020870,0.056106
1863439,f(ementa),-0.197163,-0.041743,-0.149634,-0.181799,0.026252,0.137397
1863459,f(ementa),-0.180375,-0.042540,-0.061268,-0.195619,0.039233,0.135455
1863462,f(ementa),-0.101710,-0.361974,0.009018,-0.014228,0.034929,0.092078
1863467,f(ementa),-0.242960,0.024604,-0.031119,-0.165286,-0.027538,0.112007
1863472,f(ementa),-0.150889,-0.303514,0.007481,-0.064964,0.099305,0.110513
1863498,f(ementa),-0.246852,0.033618,-0.118819,-0.181169,-0.034718,-0.010549
1863504,f(ementa),-0.148177,0.005478,-0.056282,-0.319969,-0.036352,0.194862
1863524,f(ementa),-0.173559,0.085956,0.130935,-0.157711,0.033981,0.178291
1863548,f(ementa),-0.203220,0.086744,-0.116143,-0.144833,-0.010794,0.045127
1863554,f(ementa),-0.200752,0.044149,0.015387,-0.258462,-0.087165,0.044243
1863555,f(ementa),-0.177227,0.038377,0.030340,-0.130190,0.037295,0.121402
1863564,f(ementa),-0.125775,-0.382330,0.004040,0.101029,0.183136,0.140204
1863579,f(ementa),-0.131212,0.015163,0.023997,-0.034714,0.045118,0.062732
1863584,f(ementa),-0.176273,-0.084734,-0.120811,-0.121096,0.017136,0.079276
1863592,f(ementa),-0.186756,0.076182,0.086522,-0.184811,0.061273,0.169112
1863598,f(ementa),-0.146128,0.014026,-0.064104,-0.268903,-0.021071,0.153400
1863605,f(ementa),-0.174508,0.006813,-0.167701,-0.236001,-0.053545,0.205688
1863611,f(ementa),-0.178275,0.086453,-0.116484,-0.200808,0.006534,0.093546
1863619,f(ementa),-0.199543,-0.297633,0.089292,0.035033,0.174905,0.174535
1863620,f(ementa),-0.165435,-0.373636,-0.026379,0.129899,0.113656,0.124646
1863626,f(ementa),-0.172388,-0.328873,0.053647,-0.007991,0.131142,0.113707
1863627,f(ementa),-0.164607,0.044832,-0.048056,-0.231802,-0.004460,0.141946
1863634,f(ementa),-0.157238,-0.304709,0.028175,-0.065750,0.009762,0.069834
1863640,f(ementa),-0.125572,0.022565,-0.088134,-0.131840,0.056407,0.121630
1863641,f(ementa),-0.157104,-0.379417,-0.022986,0.059830,0.131251,0.077507
1863647,f(ementa),-0.097774,-0.303073,0.076564,0.056113,0.148268,0.057044
1863648,f(ementa),-0.176627,-0.398414,-0.029940,0.119046,0.157065,0.110540
1863654,f(ementa),-0.150889,-0.303514,0.007481,-0.064964,0.099305,0.110512
1862307,f(ementa),-0.236545,0.223828,0.067058,0.010207,0.063947,0.158861
1862351,f(ementa),-0.204373,0.000699,-0.112972,-0.204163,0.008968,0.149592
1862357,f(ementa),-0.204373,0.000699,-0.112972,-0.204163,0.008968,0.149592
1862366,f(ementa),-0.100274,0.025646,-0.233468,-0.129310,-0.028742,0.095121
1862383,f(ementa),-0.191006,-0.050059,-0.085320,-0.214809,-0.038095,0.078730
1862417,f(ementa),-0.186347,-0.256828,0.043858,-0.091983,0.097607,0.163042
1862438,f(ementa),-0.262269,0.015980,-0.131534,-0.104262,-0.031604,-0.077414
1862446,f(ementa),-0.280409,0.036323,0.009386,-0.168795,-0.006057,0.087157
1862447,f(ementa),-0.213108,0.088875,-0.083657,-0.254013,-0.047017,0.087896
1862458,f(ementa),-0.218231,0.064208,-0.039550,-0.176456,0.057443,0.110138
