cdacordao,tipo,x,y
1863427,f(ementa),2.357308,-13.323398
1863427,f(descricao),32.135620,-0.993931
1863427,f(mean HyDE),1.192579,-12.390793
1863439,f(ementa),-0.354896,-14.388326
1863439,f(descricao),32.807270,3.496129
1863439,f(mean HyDE),-0.612758,-14.118006
1863459,f(ementa),3.177130,-12.759173
1863459,f(descricao),33.222176,-0.854161
1863459,f(mean HyDE),1.851071,-12.132895
1863462,f(ementa),-11.819634,-48.887398
1863462,f(descricao),45.070709,-16.726484
1863462,f(mean HyDE),-1.132536,-34.768463
1863467,f(ementa),-1.697393,-4.716159
1863467,f(descricao),27.188360,3.668500
1863467,f(mean HyDE),-1.535848,-4.546105
1863472,f(ementa),-11.632944,-38.738800
1863472,f(descricao),41.332680,-13.273019
1863472,f(mean HyDE),0.737895,-29.296417
1863498,f(ementa),-6.666014,-4.773740
1863498,f(descricao),35.186455,8.677869
1863498,f(mean HyDE),-6.684699,-4.763304
1863504,f(ementa),-9.659974,-13.670979
1863504,f(descricao),28.954372,-0.672844
1863504,f(mean HyDE),-0.164671,-10.677575
1863524,f(ementa),-16.875566,-3.269537
1863524,f(descricao),26.385368,-2.269055
1863524,f(mean HyDE),-18.128319,-1.692620
1863548,f(ementa),-15.240047,-8.658549
1863548,f(descricao),23.071436,4.770370
1863548,f(mean HyDE),-15.065476,-8.968399
1863554,f(ementa),-19.081944,-5.125655
1863554,f(descricao),48.311222,-18.329174
1863554,f(mean HyDE),-10.152795,-4.227952
1863555,f(ementa),-10.420855,-1.064885
1863555,f(descricao),28.062136,6.426776
1863555,f(mean HyDE),-10.387378,-1.127818
1863564,f(ementa),-10.044585,-43.963650
1863564,f(descricao),40.403294,-18.202766
1863564,f(mean HyDE),-4.946947,-38.708008
1863579,f(ementa),-23.454762,4.958436
1863579,f(descricao),22.278795,0.870741
1863579,f(mean HyDE),-16.869698,1.819771
1863584,f(ementa),-13.342367,-14.614384
1863584,f(descricao),23.604548,-1.466546
1863584,f(mean HyDE),-13.251014,-14.472821
1863592,f(ementa),-16.655264,-3.912543
1863592,f(descricao),24.365273,4.071856
1863592,f(mean HyDE),-12.992324,-4.661391
1863598,f(ementa),-11.108122,-13.222589
1863598,f(descricao),25.288651,-0.070310
1863598,f(mean HyDE),-10.323084,-9.112799
1863605,f(ementa),-10.992892,-13.364659
1863605,f(descricao),25.118431,0.025705
1863605,f(mean HyDE),-11.566153,-11.602990
1863611,f(ementa),-15.372178,-7.549393
1863611,f(descricao),25.201040,4.145312
1863611,f(mean HyDE),-12.815396,-3.823663
1863619,f(ementa),-10.955770,-47.222111
1863619,f(descricao),45.252148,-20.075665
1863619,f(mean HyDE),-1.350618,-39.469437
1863620,f(ementa),-10.371248,-50.572315
1863620,f(descricao),43.397026,-21.589945
1863620,f(mean HyDE),1.181810,-38.505592
1863626,f(ementa),-11.192904,-47.881298
1863626,f(descricao),44.520157,-19.962826
1863626,f(mean HyDE),-2.981890,-40.042015
1863627,f(ementa),-17.160563,-8.186194
1863627,f(descricao),23.877819,1.643373
1863627,f(mean HyDE),-16.362854,-11.621935
1863634,f(ementa),-10.943620,-39.897060
1863634,f(descricao),41.810883,-14.006872
1863634,f(mean HyDE),0.854416,-30.150631
1863640,f(ementa),-15.883226,-7.572938
1863640,f(descricao),24.966667,3.372743
1863640,f(mean HyDE),-15.566312,-7.718706
1863641,f(ementa),-11.117523,-48.650288
1863641,f(descricao),44.449799,-19.703520
1863641,f(mean HyDE),-2.040009,-39.967850
1863647,f(ementa),-10.950253,-44.364319
1863647,f(descricao),42.702099,-18.653908
1863647,f(mean HyDE),-0.752011,-40.465218
1863648,f(ementa),-10.599791,-49.324768
1863648,f(descricao),44.719475,-19.933056
1863648,f(mean HyDE),-1.259751,-38.515713
1863654,f(ementa),-11.633057,-38.738369
1863654,f(descricao),41.332680,-13.273019
1863654,f(mean HyDE),0.651723,-29.211191
1862307,f(ementa),-9.111012,12.621288
1862307,f(descricao),30.844873,11.711432
1862307,f(mean HyDE),-4.769217,5.294024
1862351,f(ementa),1.178326,-15.727640
1862351,f(descricao),32.688896,2.646530
1862351,f(mean HyDE),-0.225496,-13.118164
1862357,f(ementa),1.178326,-15.727640
1862357,f(descricao),32.688896,2.646530
1862357,f(mean HyDE),-0.236729,-12.953437
1862366,f(ementa),3.873984,-9.077765
1862366,f(descricao),33.307114,-3.077596
1862366,f(mean HyDE),-1.659855,-15.881298
1862383,f(ementa),2.423165,-13.119079
1862383,f(descricao),33.316963,-0.612344
1862383,f(mean HyDE),1.547787,-11.835752
1862417,f(ementa),-11.890500,-47.581738
1862417,f(descricao),45.219818,-16.588915
1862417,f(mean HyDE),2.069912,-39.122917
1862438,f(ementa),-9.204583,-4.224531
1862438,f(descricao),19.486696,5.367069
1862438,f(mean HyDE),-9.120254,-4.199461
1862446,f(ementa),-12.724555,-0.972023
1862446,f(descricao),19.477531,5.349400
1862446,f(mean HyDE),-12.737271,-0.838750
1862447,f(ementa),-10.160045,-6.108211
1862447,f(descricao),36.315697,-1.480329
1862447,f(mean HyDE),-5.366446,-7.412423
1862458,f(ementa),-6.682751,0.156298
1862458,f(descricao),32.091747,4.060967
1862458,f(mean HyDE),-3.203822,2.484901
1862465,f(ementa),-4.640688,-50.506332
1862465,f(descricao),41.969112,-20.850176
1862465,f(mean HyDE),-0.091808,-35.695820
1862467,f(ementa),-10.113977,-47.286980
1862467,f(descricao),45.743389,-19.517029
1862467,f(mean HyDE),-4.811497,-35.152542
1862503,f(ementa),0.112501,-8.078850
1862503,f(descricao),30.514431,-0.766477
1862503,f(mean HyDE),0.731086,-9.784920
1856357,f(ementa),-3.020003,-5.603981
1856357,f(descricao),27.177345,-6.998381
1856357,f(mean HyDE),-2.981077,-5.676877
1856386,f(ementa),-26.719687,2.527825
1856386,f(descricao),22.644045,3.596302
1856386,f(mean HyDE),-8.433748,-7.698471
1856509,f(ementa),-14.450089,25.546841
1856509,f(descricao),32.269917,19.583292
1856509,f(mean HyDE),-12.986334,25.681929
1856531,f(ementa),-6.235810,-0.634815
1856531,f(descricao),28.697285,7.637735
1856531,f(mean HyDE),-4.672131,3.311079
1856537,f(ementa),-3.350447,1.457944
1856537,f(descricao),27.559101,1.274618
1856537,f(mean HyDE),-3.491335,3.179436
1856552,f(ementa),-10.514706,-50.806538
1856552,f(descricao),42.857891,-19.537933
1856552,f(mean HyDE),-1.510394,-41.516998
1856618,f(ementa),-19.659140,13.991007
1856618,f(descricao),28.099501,16.858030
1856618,f(mean HyDE),-7.612006,28.418383
1848860,f(ementa),-22.933100,23.631903
1848860,f(descricao),28.200401,24.880095
1848860,f(mean HyDE),-16.257788,31.243631
1863426,f(ementa),4.563888,-0.286046
1863426,f(descricao),23.174351,0.265404
1863426,f(mean HyDE),-13.898365,-4.776592
1863430,f(ementa),4.442623,-0.339538
1863430,f(descricao),24.527292,-0.780639
1863430,f(mean HyDE),-2.654285,-0.044822
1863444,f(ementa),4.133927,-1.371863
1863444,f(descricao),27.170034,-7.162946
1863444,f(mean HyDE),-4.062985,-6.215648
1863457,f(ementa),4.670950,-0.038433
1863457,f(descricao),20.177309,3.361610
1863457,f(mean HyDE),-11.692316,-5.209751
1863473,f(ementa),4.690872,0.088616
1863473,f(descricao),21.229546,5.273588
1863473,f(mean HyDE),-11.888517,-5.799428
1863476,f(ementa),23.379644,-19.493000
1863476,f(descricao),24.188240,-19.129745
1863476,f(mean HyDE),-8.162125,-5.988069
1863477,f(ementa),4.723956,-0.591288
1863477,f(descricao),25.032347,1.490499
1863477,f(mean HyDE),-12.987743,-8.920415
1863508,f(ementa),16.946756,0.311292
1863508,f(descricao),17.339334,0.393314
